DateTime,AddedIPs,RemovedIPs
1466322500,21,16
1466323458,56,43
1466324414,34,38
1466325391,31,38
1466326340,26,30
1466327304,30,46
1466328254,20,45
1466329224,29,12
1466330186,52,35
1466331142,29,10
1466332869,50,76
1466333775,8,39
1466334776,26,44
1466335705,41,20
1466336679,16,24
1466337640,37,35
1466338620,5,28
1466339579,36,52
1466340544,18,14
1466341464,26,36
1466342445,14,35
1466343384,11,24
1466344373,23,27
1466345301,21,18
1466346281,25,56
1466347242,42,16
1466348212,34,24
1466349145,16,30
1466350230,42,42
1466351317,34,29
1466352269,32,27
1466353209,18,38
1466354178,18,57
1466355216,26,17
1466356334,27,22
1466357303,40,58
1466358261,20,56
1466359236,34,0
1466360195,18,59
1466361148,27,0
1466362111,34,45
1466363059,26,0
1466364016,22,53
1466364984,15,0
1466365946,14,40
1466366908,26,26
1466367855,21,33
1466368826,27,26
1466369780,6,18
1466370743,23,20
1466371707,44,48
1466373150,43,60
1466374102,9,2
1466375059,17,55
1466376276,31,36
1466377290,33,17
1466378197,4,18
1466379183,30,39
1466380103,40,33
1466381101,27,34
1466382021,30,36
1466383021,21,33
1466383946,18,16
1466384937,37,33
1466385857,44,66
1466386856,34,8
1466387785,12,38
1466388776,27,15
1466389716,80,68
1466390690,14,36
1466391634,48,19
1466392621,12,45
1466393613,50,39
1466394841,39,40
1466395950,29,19
1466396902,46,32
1466397860,28,30
1466398879,29,12
1466399785,12,0
1466400769,56,40
1466401701,30,0
1466402699,28,103
1466403625,20,12
1466404581,38,59
1466405552,26,43
1466406506,25,36
1466407455,51,50
1466408416,99,0
1466409389,31,52
1466410349,29,70
1466411301,39,8
1466412255,2,32
1466413283,2,6
1466414186,6,59
1466415161,13,42
1466416110,56,42
1466417054,170,20
1466418014,59,0
1466418984,57,66
1466419945,44,20
1466420908,28,0
1466421851,47,11
1466422826,42,40
1466423783,40,0
1466425054,44,44
1466426214,48,33
1466427137,62,30
1466428119,27,20
1466429055,44,33
1466430324,58,23
1466431316,93,19
1466432416,32,40
1466433382,26,12
1466434344,46,35
1466435303,47,6
1466436260,38,26
1466437214,37,14
1466438175,30,21
1466439145,29,30
1466440110,58,29
1466441052,26,21
1466442036,36,22
1466443035,35,40
1466443952,44,8
1466444941,19,47
1466445863,36,12
1466446840,25,56
1466447786,32,21
1466448779,40,17
1466449702,54,19
1466450681,23,14
1466451634,56,31
1466452599,24,34
1466453546,26,43
1466454539,35,8
1466455456,27,0
1466456516,44,31
1466457616,57,36
1466458567,26,14
1466459537,37,0
1466460538,35,49
1466461449,29,0
1466462459,39,42
1466463377,24,0
1466464374,29,61
